,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
467,Wildomar,33.603611111111114,-117.27277777777779,387.0,1270.0,32176,23.688,23.688,0.0,61.351000000000006,61.351000000000006,0.0,0.0
468,Williams,39.15472222222222,-122.14944444444444,25.0,82.0,5123,5.444,5.444,0.0,14.101,14.101,0.0,0.0
469,Willits,39.40972222222222,-123.35555555555555,424.0,1391.0,4888,2.803,2.798,0.005,7.26,7.247999999999998,0.013,0.17
470,Willows,39.524444444444434,-122.19361111111112,42.0,138.0,6166,2.873,2.847,0.026,7.441,7.372999999999998,0.068,0.92
471,Windsor,38.54611111111111,-122.80527777777776,36.0,118.0,26801,7.292999999999998,7.268,0.025,18.888,18.824,0.064,0.34
472,Winters,38.525,-121.97083333333332,40.0,131.0,6624,2.937,2.912,0.025,7.607,7.542999999999998,0.065,0.85
473,Woodlake,36.41638888888889,-119.09944444444444,134.0,440.0,7279,2.765,2.248,0.517,7.159,5.8210000000000015,1.338,18.69
474,Woodland,38.67861111111111,-121.77333333333333,21.0,69.0,55468,15.303,15.303,0.0,39.634,39.634,0.0,0.0
475,Woodside,37.42083333333333,-122.25972222222221,117.0,384.0,5287,11.732,11.732,0.0,30.386,30.386,0.0,0.0
476,YorbaLinda,33.888551,-117.813231,82.3,270.0,65237,20.018,19.483,0.535,51.847,50.46,1.3869999999999998,2.67
477,Yountville,38.40305555555555,-122.3622222222222,30.0,98.0,2933,1.531,1.531,0.0,3.966,3.966,0.0,0.0
478,Yreka,41.72666666666667,-122.6375,787.0,2582.0,7765,10.053,9.98,0.073,26.036,25.847,0.188,0.72
479,YubaCity,39.134722222222216,-121.62611111111109,18.0,59.0,64925,14.656,14.578,0.078,37.959,37.758,0.201,0.53
480,Yucaipa,34.03027777777777,-117.04861111111113,798.0,2618.0,51367,27.893,27.888,0.005,72.244,72.23100000000002,0.013,0.02
481,YuccaValley,34.13333333333333,-116.41666666666669,1027.0,3369.0,20700,40.015,40.015,0.0,103.639,103.639,0.0,0.0
